lagday0,lagday1,lagday2,lagday3,lagday4,lagday5,lagday6,lagday7,lagday8,lagday9,lagday10,lagday11,lagday12,lagday13,lagday14,lagday15,lagday16,lagday17,lagday18,lagday19,lagday20,lagday21,lagday22,lagday23,lagday24,lagday25,lagday26,lagday27,lagday28,lagday29,lagday30,lagday31,lagday32,lagday33,lagday34,lagday35,lagday36,lagday37,lagday38,lagday39,lagday40,lagday41,lagday42,lagday43,lagday44,lagday45,lagday46,lagday47,lagday48,lagday49,lagday50,lagday51,lagday52,lagday53,lagday54,lagday55,lagday56,lagday57,lagday58,lagday59,lagday60
42.54,25.614,24.892,66.827,56.98,56.558,48.788,58.688,63.565,66.453,68.176,64.378,34.296,32.963,36.162,51.037,58.863,66.733,62.69600000000001,64.679,57.403,53.842,49.253,48.54,57.375,54.966,25.359,27.471999999999998,38.748000000000005,48.957,47.119,45.608,50.13,54.093,54.938,69.389,66.031,60.937,61.772,55.552,56.098,53.49,49.261,66.8,55.98,54.994,56.381,56.99800000000001,48.963,48.86600000000001,52.307,56.672,58.851000000000006,48.635,46.73,45.105,47.951,60.482,56.543,64.436,51.952
42.54,25.614,24.892,66.827,80.975,59.37,41.778,46.853,50.313,55.279,80.416,74.461,42.505,22.871,40.856,61.047,59.455,61.787,55.353,31.802,48.04,45.61600000000001,34.629,46.648,39.853,34.166,31.118,35.98699999999999,30.933000000000003,41.385,55.168,46.285,48.608,40.367,52.785,51.261,58.19300000000001,46.989,28.052,51.848,38.987,46.512,38.204,47.987,39.387,27.789,31.761,47.308,49.445,34.616,39.669,51.4,45.344,39.022,45.32100000000001,49.566,48.718,38.082,53.24100000000001,40.48,44.654
42.54,25.614,24.892,66.827,74.17399999999998,62.486,44.212,63.415,62.506,49.453,56.923,51.063,45.554,56.729,40.856,22.9,42.675,47.386,50.807,47.932,47.382,49.971,58.75100000000001,44.175,16.156,21.381999999999998,22.814,45.355,44.145,58.31800000000001,50.619,47.651,41.49800000000001,54.593,45.602,49.333,47.142,50.958,34.385,50.006,42.537,42.269,53.028,41.511,44.471,50.75899999999999,50.647,38.486,34.948,38.195,38.129,47.573,37.059,36.113,56.547,52.007,35.461,51.219,64.235,55.649,48.445
42.54,25.614,24.892,66.827,77.997,74.992,60.892,66.825,60.559,58.631,64.392,61.52,42.505,22.871,40.856,23.584,49.529,50.729,47.027,53.371,50.45,54.756,59.96,32.638000000000005,10.255999999999998,20.873,29.273000000000003,22.347,37.159,44.835,59.38800000000001,61.721,53.506,48.25899999999999,52.453,45.823,49.304,46.547,33.915,42.655,40.592,45.52,50.702,42.476000000000006,46.518,56.83,52.217,34.312,39.685,36.879,38.278,48.736,39.351,35.041,60.825,54.909,43.482,51.882,62.477,57.042,43.706
42.54,25.614,24.892,66.827,50.28,53.37600000000001,58.32,56.972,49.81800000000001,43.088,46.851000000000006,64.14699999999999,34.296,32.963,36.162,47.124,57.327,72.405,67.65100000000001,58.663,55.239,51.914,53.38800000000001,60.309,50.967,49.094,48.49,52.952,59.844,63.581,55.142,52.403,54.0,49.617,65.158,66.982,62.03100000000001,60.966,59.374,57.784,52.977,47.802,61.143,57.955,54.697,60.469,58.945,55.629,49.356,49.797,53.221,58.95399999999999,63.425,55.25,43.78100000000001,44.848,55.06100000000001,61.417,60.737,60.824,60.486
42.54,25.614,24.892,66.827,80.975,59.37,41.778,46.853,50.313,55.279,80.416,74.461,42.505,22.871,40.856,61.047,59.455,61.787,55.353,31.802,48.04,45.61600000000001,34.629,46.648,39.853,34.166,31.118,35.98699999999999,30.933000000000003,41.385,55.168,46.285,48.608,53.207,52.056999999999995,51.261,58.19300000000001,46.989,28.052,51.848,38.987,46.512,38.204,47.987,39.387,27.789,31.761,47.308,49.445,34.616,39.669,51.4,45.344,39.022,45.32100000000001,49.566,48.718,38.082,53.24100000000001,40.48,44.654
42.54,25.614,24.892,66.827,70.54,58.317,57.928,66.04,63.493,50.308,53.902,72.41,34.296,32.963,36.162,56.332,44.35,53.149,50.903,48.46100000000001,51.133,49.856,52.485,37.55,39.928,39.578,39.466,33.581,39.639,40.39,40.297,40.414,71.783,64.367,68.908,61.54,56.85,60.278,59.414,55.96100000000001,51.588,50.99100000000001,50.258,57.365,68.834,59.074,55.465,53.933,43.602,49.1,61.828,60.984,34.181,50.081,37.848,50.147,53.918,63.536,56.244,42.045,60.468
42.54,25.614,24.892,66.827,65.835,68.406,65.155,61.922,65.184,48.597,53.17100000000001,51.549,34.296,32.963,36.162,41.688,43.31100000000001,35.274,31.872,52.57100000000001,54.537,45.601000000000006,49.517,40.685,25.061,44.725,51.729,46.956,35.96,22.044,50.478,47.774,63.294,46.055,54.127,44.044,44.947,38.485,42.127,29.102,42.654,40.785,49.762,50.072,33.17,35.379,37.962,51.949,50.853,34.061,41.31800000000001,49.382,44.101000000000006,42.489,42.744,45.912,53.918,63.536,33.86,55.768,52.435
42.54,25.614,24.892,66.827,71.873,65.419,56.043,56.567,64.896,61.236,46.331,48.718,34.296,32.963,36.162,58.824,49.89,59.228,48.885,44.18899999999999,63.885,59.153,40.04,43.351000000000006,45.675,59.143,53.787,37.963,40.611,33.197,48.589,38.551,43.179,54.82899999999999,45.97,63.963,71.149,62.803,62.374,54.917,45.201,41.265,58.471,74.488,55.851000000000006,43.883,46.525,30.972,26.115,49.542,55.124,32.713,48.886,41.853,64.102,78.146,53.511,48.322,62.044,78.44,64.914
42.54,25.614,24.892,66.827,65.835,68.406,65.155,61.922,65.184,48.597,53.17100000000001,51.549,34.296,32.963,36.162,41.688,43.31100000000001,35.274,31.872,52.57100000000001,54.537,45.601000000000006,49.517,40.685,25.061,44.725,51.729,46.956,35.96,22.044,50.478,47.774,63.294,46.055,54.127,44.044,44.947,38.485,42.127,29.102,42.654,40.785,49.762,50.072,33.17,35.379,37.962,51.949,50.853,34.061,41.31800000000001,49.382,44.101000000000006,42.489,42.744,45.912,43.19600000000001,36.212,33.86,55.768,52.435
